year,month,month_name,season,monthly_deaths,weekly_average
2021,1,January,Winter,28383.0,7095.75
2021,2,February,Winter,19117.0,4779.25
2021,3,March,Spring,5021.0,1255.25
2021,4,April,Spring,1533.0,383.25
2021,5,May,Spring,461.0,115.25
2021,6,June,Summer,378.0,94.5
2021,7,July,Summer,1192.0,298.0
2021,8,August,Summer,2252.0,563.0
2021,9,September,Fall,3000.0,750.0
2021,10,October,Fall,3422.0,855.5
2021,11,November,Fall,3438.0,859.5
2021,12,December,Winter,3493.0,873.25
2022,1,January,Winter,4866.0,1216.5
2022,2,February,Winter,3723.0,930.75
2022,3,March,Spring,2633.0,658.25
2022,4,April,Spring,4669.0,1167.25
2022,5,May,Spring,2269.0,567.25
2022,6,June,Summer,961.0,240.25
2022,7,July,Summer,2692.0,673.0
2022,8,August,Summer,2182.0,545.5
2022,9,September,Fall,1407.0,351.75
2022,10,October,Fall,2162.0,540.5
2022,11,November,Fall,1817.0,454.25
2022,12,December,Winter,1722.0,430.5
2023,1,January,Winter,2784.0,696.0
2023,2,February,Winter,1701.0,425.25
2023,3,March,Spring,2715.0,678.75
2023,4,April,Spring,1867.0,466.75
2023,5,May,Spring,1124.0,281.0
2023,6,June,Summer,781.0,195.25
2023,7,July,Summer,280.0,70.0
2023,8,August,Summer,459.0,114.75
2023,9,September,Fall,1006.0,251.5
2023,10,October,Fall,1135.0,283.75
2023,11,November,Fall,1001.0,250.25
2023,12,December,Winter,961.0,240.25
2024,1,January,Winter,1383.0,345.75
2024,2,February,Winter,1128.0,282.0
2024,3,March,Spring,734.0,183.5
2024,4,April,Spring,449.0,112.25
2024,5,May,Spring,623.0,155.75
2024,6,June,Summer,639.0,159.75
2024,7,July,Summer,770.0,192.5
2024,8,August,Summer,829.0,207.25
2024,9,September,Fall,473.0,118.25
2024,10,October,Fall,874.0,218.5
2024,11,November,Fall,739.0,184.75
